candidate_id,rank,score,reasoning
CAND_0051335,1,0.8297,Civil Engineer (14.9 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.660.
CAND_0046525,2,0.8271,Senior Machine Learning Engineer (6.1 yrs exp) at Genpact AI. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (88%). Solid GitHub activity score (37). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.587.
CAND_0053591,3,0.8203,AI Engineer (5.3 yrs exp) at Ola. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (81%). Solid GitHub activity score (76). Marked open to work. Located outside India; JD requires relocation willingness. Semantic JD match score: 0.580.
CAND_0074754,4,0.8184,Civil Engineer (13.0 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.648.
CAND_0046698,5,0.8158,Graphic Designer (7.0 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.626.
CAND_0013090,6,0.8133,Civil Engineer (3.4 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (41). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.643.
CAND_0069889,7,0.8132,Civil Engineer (2.5 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (66%). Marked open to work. Semantic JD match score: 0.653.
CAND_0064326,8,0.8131,Search Engineer (7.6 yrs exp) at Sarvam AI. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (94%). Solid GitHub activity score (61). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.543.
CAND_0039754,9,0.8125,Senior Applied Scientist (16.2 yrs exp) at Meta. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (81%). Solid GitHub activity score (78). Marked open to work. Semantic JD match score: 0.573.
CAND_0025658,10,0.8108,Marketing Manager (7.6 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.621.
CAND_0066945,11,0.8107,HR Manager (11.5 yrs exp) at Hooli. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (77%). Solid GitHub activity score (47). Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.621.
CAND_0065293,12,0.8104,Civil Engineer (10.2 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.640.
CAND_0022794,13,0.809,Civil Engineer (13.3 yrs exp) at Dunder Mifflin. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.659.
CAND_0096466,14,0.8078,HR Manager (7.0 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Solid GitHub activity score (33). Located in a JD-preferred city. Semantic JD match score: 0.638.
CAND_0073874,15,0.8045,Operations Manager (6.5 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Marked open to work. Located in a JD-preferred city. Semantic JD match score: 0.634.
CAND_0024756,16,0.8018,"Mechanical Engineer (11.9 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (16%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.652."
CAND_0097936,17,0.8013,Civil Engineer (4.3 yrs exp) at Pied Piper. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Strong recruiter response rate (68%). Marked open to work. Semantic JD match score: 0.661.
CAND_0018234,18,0.8006,"Civil Engineer (7.5 yrs exp) at Acme Corp. Profile shows direct retrieval/ranking/ML skill overlap with the JD. Low recruiter response rate (6%), may be hard to reach. Located in a JD-preferred city. Semantic JD match score: 0.651."
